name,date_st,date_en,date_event_st,date_event_en,maxmin,maxzero,lowhigh
vod,2017/02/13,2017/07/14,2017/02/17,2017/02/21,0.6,0.6,0
vod,2017/02/13,2017/07/14,2017/04/12,2017/04/16,0.6,0.55,0
vod,2017/02/13,2017/07/14,2017/02/18,2017/02/19,0.6,0.27,1
vod,2017/02/13,2017/07/14,2017/02/21,2017/02/23,0.6,0.26,1
vod,2017/02/13,2017/07/14,2017/02/23,2017/02/24,0.5,0.28,1
vod,2017/02/13,2017/07/14,2017/04/13,2017/04/15,0.61,0.34,1
vod,2017/02/13,2017/07/14,2017/04/20,2017/04/24,0.33,0.18,1
vod,2020/08/20,2020/12/13,2020/09/28,2020/09/30,0.6,0.55,0
vod,2020/08/20,2020/12/13,2020/11/03,2020/11/07,0.63,0.56,0
vod,2020/08/20,2020/12/13,2020/09/28,2020/09/30,0.7,0.4,1
vod,2020/08/20,2020/12/13,2020/10/06,2020/10/08,0.35,0.2,1
vod,2020/08/20,2020/12/13,2020/10/14,2020/10/17,0.66,0.35,1
vod,2020/08/20,2020/12/13,2020/10/23,2020/10/26,0.47,0.26,1
vod,2020/08/20,2020/12/13,2020/10/31,2020/11/02,0.64,0.31,1
vod,2020/08/20,2020/12/13,2020/11/03,2020/11/06,0.68,0.34,1
vod,2020/08/20,2020/12/13,2020/11/29,2020/12/01,0.53,0.33,1
vod,2020/08/20,2020/12/13,2020/12/10,2020/12/13,0.48,0.25,1
vod,2021/01/31,2021/05/17,2021/02/18,2021/02/21,0.6,0.51,0
vod,2021/01/31,2021/05/17,2021/04/08,2021/04/11,0.76,0.52,0
vod,2021/01/31,2021/05/17,2021/02/06,2021/02/08,0.65,0.34,1
vod,2021/01/31,2021/05/17,2021/02/11,2021/02/15,0.64,0.36,1
vod,2021/01/31,2021/05/17,2021/03/22,2021/03/24,0.76,0.38,1
vod,2021/01/31,2021/05/17,2021/04/08,2021/04/10,0.87,0.46,1
vod,2021/01/31,2021/05/17,2021/04/27,2021/04/29,0.72,0.4,1
vod,2021/06/04,2021/08/31,2021/06/20,2021/06/23,0.31,0.15,1
vod,2021/06/04,2021/08/31,2021/08/12,2021/08/15,0.4,0.21,1
vod,2022/01/12,2022/09/28,2022/01/15,2022/01/19,0.95,0.48,1
vod,2022/01/12,2022/09/28,2022/01/27,2022/01/30,0.81,0.45,1
vod,2022/01/12,2022/09/28,2022/02/14,2022/02/17,0.94,0.52,1
vod,2022/01/12,2022/09/28,2022/03/07,2022/03/10,0.62,0.32,1
vod,2022/01/12,2022/09/28,2022/03/19,2022/03/22,0.57,0.32,1
vod,2022/01/12,2022/09/28,2022/06/01,2022/06/04,0.44,0.25,1
vod,2022/01/12,2022/09/28,2022/08/29,2022/08/30,0.58,0.28,1
,,,,,,,
nksk,2016/08/31,2016/10/06,2016/09/09,2016/09/23,,,wind
nksk,2016/10/10,2016/11/16,2016/11/04,2016/11/11,,,wind
nksk,2020/11/23,2021/05/05,2021/01/31,2021/02/10,,,wind
nksk,2020/11/23,2021/05/05,2021/02/25,2021/03/05,,,wind
nksk,2022/01/12,2022/01/26,2022/01/14,2022/01/22,,,tonga
petr,2010/12/04,2011/01/13,2010/12/13,2010/12/20,,,?
petr,2010/12/04,2011/01/13,2010/12/23,2010/12/31,,,?
petr,2010/12/04,2011/01/13,2011/01/16,2010/01/24,,,?
petr,2011/01/23,2011/03/15,2011/03/02,2010/03/06,,,?
petr,2011/01/23,2011/03/15,2011/03/11,2011/03/15,,,honshu
petr,2014/08/11,2011/11/21,2014/09/19,2014/09/22,,,?
petr,2015/10/12,2015/11/21,2015/10/23,2015/11/01,,,?
petr,2017/11/03,2017/12/26,2017/11/23,2017/11/28,,,seiche
petr,2022/01/12,2022/02/25,2022/01/14,2022/01/22,,,tonga
vodo,2014/11/09,2015/01/01,2014/12/06,2014/12/09,,,?
vodo,2014/11/09,2015/01/01,2014/12/30,2015/01/01,,,?
vodo,2017/02/10,2017/04/01,,,,,many
vodo,2017/04/01,2017/06/20,2017/04/13,2017/04/16,,,?
vodo,2017/04/01,2017/06/20,2017/04/19,2017/04/26,,,?
vodo,2017/04/01,2017/06/20,2017/04/28,2017/05/01,,,?
vodo,2021/06/10,2021/09/01,2021/06/19,2021/06/24,,,?
vodo,2021/06/10,2021/09/01,2021/08/10,2021/08/19,,,?
vodo,2022/01/12,2022/03/26,2022/01/14,2022/01/22,,,tonga
vodo,2022/01/12,2022/03/26,2022/01/27,2022/02/09,,,?
vodo,2022/01/12,2022/03/26,2022/02/13,2022/02/27,,,?
vodo,2022/01/12,2022/03/26,2022/03/06,2022/03/15,,,?
vodo,2022/01/12,2022/03/26,2022/03/18,2022/03/26,,,?
